Package Code	Package Description	Accessory #	Accessory	Code	CTD	Sell	Labour	Lab Hrs	Sundry	Sublet
GME-GX700WPK	VHF Radio - GME GX700W Flush Mounted with 1.8m Aerial	1	GX700W - VHF Fixed Mount Marine Radio - White	GX700W	202.3584444444444	240	Head Unit Installation - Flush Mount	2.5	10	0
GME-GX700WPK	VHF Radio - GME GX700W Flush Mounted with 1.8m Aerial	2	ABL012 - Double Swivel rectangular antenna base with lead for AW36XX range of whips	ABL012	51.00441176470588	60	Radio Aerial Installation - Deck/Side Mount	0.9	5	0
GME-GX700WPK	VHF Radio - GME GX700W Flush Mounted with 1.8m Aerial	3	AW366V - VHF 1800mm detachable ant whip	AW366V	46.92205970149254	60	Labour Estimated - (0.10)	0.1	1	0
GME-GX700BPK	VHF Radio - GME GX700B Flush Mounted with 1.8m Aerial	1	GX700B - VHF Fixed Mount Marine Radio - Black	GX700B	202.3584444444444	240	Head Unit Installation - Flush Mount	2.5	10	0
GME-GX700BPK	VHF Radio - GME GX700B Flush Mounted with 1.8m Aerial	2	ABL012 - Double Swivel rectangular antenna base with lead for AW36XX range of whips	ABL012	51.00441176470588	60	Radio Aerial Installation - Deck/Side Mount	0.9	5	0
GME-GX700BPK	VHF Radio - GME GX700B Flush Mounted with 1.8m Aerial	3	AW366V - VHF 1800mm detachable ant whip	AW366V	46.92205970149254	60	Labour Estimated - (0.10)	0.1	1	0
GME-GX700WPK-KIT02	VHF Radio - GME GX700W Flush Mounted with 1.2m Aerial	1	GX700W - VHF Fixed Mount Marine Radio - White	GX700W	202.3584444444444	240	Head Unit Installation - Flush Mount	2.5	10	0
GME-GX700WPK-KIT02	VHF Radio - GME GX700W Flush Mounted with 1.2m Aerial	2	ABL012 - Double Swivel rectangular antenna base with lead for AW36XX range of whips	ABL012	51.00441176470588	60	Radio Aerial Installation - Deck/Side Mount	0.9	5	0
GME-GX700WPK-KIT02	VHF Radio - GME GX700W Flush Mounted with 1.2m Aerial	3	AW364V - VHF detachable antenna whip 1200 mm	AW364V	40.8635806451613	50	Labour Estimated - (0.10)	0.1	1	0
GME-GX700BPK-KIT02	VHF Radio - GME GX700B Flush Mounted with 1.2m (Black) Aerial	1	GX700B - VHF Fixed Mount Marine Radio - Black	GX700B	202.3584444444444	240	Head Unit Installation - Flush Mount	2.5	10	0
GME-GX700BPK-KIT02	VHF Radio - GME GX700B Flush Mounted with 1.2m (Black) Aerial	2	ABL012 - Double Swivel rectangular antenna base with lead for AW36XX range of whips	ABL012	51.00441176470588	60	Radio Aerial Installation - Deck/Side Mount	0.9	5	0
GME-GX700BPK-KIT02	VHF Radio - GME GX700B Flush Mounted with 1.2m (Black) Aerial	3	AW364VB - VHF detachable antenna whip 1200 mm - Black	AW364VB	36.718	50	Labour Estimated - (0.10)	0.1	1	0
GAR-VHF115i	VHF Radio - Garmin VHF115i Flush Mounted with 1.8m Aerial	1	VHF Radio - Garmin VHF115i	010-02096-01	375.2	419	Head Unit Installation - Flush Mount	2.5	10	0
GAR-VHF115i	VHF Radio - Garmin VHF115i Flush Mounted with 1.8m Aerial	2	ABL012 - Double Swivel rectangular antenna base with lead for AW36XX range of whips	ABL012	51.00441176470588	60	Radio Aerial Installation - Deck/Side Mount	0.9	5	0
GAR-VHF115i	VHF Radio - Garmin VHF115i Flush Mounted with 1.8m Aerial	3	AW366V - VHF 1800mm detachable ant whip	AW366V	46.92205970149254	60	Labour Estimated - (0.10)	0.1	1	0
GAR-VHF115iB	VHF Radio - Garmin VHF115i Flush Mounted with 1.8m (Black) Aerial	1	VHF Radio - Garmin VHF115i	010-02096-01	375.2	419	Head Unit Installation - Flush Mount	2.5	10	0
GAR-VHF115iB	VHF Radio - Garmin VHF115i Flush Mounted with 1.8m (Black) Aerial	2	ABL012B - Double Swivel rectangular antenna base with lead for AW36XX range of whips - Black	ABL012B	51.00441176470588	60	Radio Aerial Installation - Deck/Side Mount	0.9	5	0
GAR-VHF115iB	VHF Radio - Garmin VHF115i Flush Mounted with 1.8m (Black) Aerial	3	AW366VB - VHF detachable antenna whip 1800 mm - Black	AW366VB	46.92205970149254	60	Labour Estimated - (0.10)	0.1	1	0
GAR-VHF215i	VHF Radio - Garmin VHF215i Flush Mounted with 1.8m Aerial	1	VHF Radio - Garmin VHF215i	010-02097-01	479.2	529	Head Unit Installation - Flush Mount	2.5	10	0
GAR-VHF215i	VHF Radio - Garmin VHF215i Flush Mounted with 1.8m Aerial	2	ABL012 - Double Swivel rectangular antenna base with lead for AW36XX range of whips	ABL012	51.00441176470588	60	Radio Aerial Installation - Deck/Side Mount	0.9	5	0
GAR-VHF215i	VHF Radio - Garmin VHF215i Flush Mounted with 1.8m Aerial	3	AW366V - VHF 1800mm detachable ant whip	AW366V	46.92205970149254	60	Labour Estimated - (0.10)	0.1	1	0
GAR-VHF215iB	VHF Radio - Garmin VHF215i Flush Mounted with 1.8m (Black) Aerial	1	VHF Radio - Garmin VHF215i	010-02097-01	479.2	529	Head Unit Installation - Flush Mount	2.5	10	0
GAR-VHF215iB	VHF Radio - Garmin VHF215i Flush Mounted with 1.8m (Black) Aerial	2	ABL012B - Double Swivel rectangular antenna base with lead for AW36XX range of whips - Black	ABL012B	51.00441176470588	60	Radio Aerial Installation - Deck/Side Mount	0.9	5	0
GAR-VHF215iB	VHF Radio - Garmin VHF215i Flush Mounted with 1.8m (Black) Aerial	3	AW366VB - VHF detachable antenna whip 1800 mm - Black	AW366VB	46.92205970149254	60	Labour Estimated - (0.10)	0.1	1	0
GAR-VHF215iBD	VHF Radio - Garmin VHF215i Flush Mounted with 1.8m (Black) Aerial & NMEA Drop Cable	1	VHF Radio - Garmin VHF215i	010-02097-01	479.2	529	Head Unit Installation - Flush Mount	2.5	10	0
GAR-VHF215iBD	VHF Radio - Garmin VHF215i Flush Mounted with 1.8m (Black) Aerial & NMEA Drop Cable	2	ABL012B - Double Swivel rectangular antenna base with lead for AW36XX range of whips - Black	ABL012B	51.00441176470588	60	Radio Aerial Installation - Deck/Side Mount	0.9	5	0
GAR-VHF215iBD	VHF Radio - Garmin VHF215i Flush Mounted with 1.8m (Black) Aerial & NMEA Drop Cable	3	AW366VB - VHF detachable antenna whip 1800 mm - Black	AW366VB	46.92205970149254	60	Labour Estimated - (0.10)	0.1	1	0
GAR-VHF215iBD	VHF Radio - Garmin VHF215i Flush Mounted with 1.8m (Black) Aerial & NMEA Drop Cable	4	Garmin NMEA Backbone/Drop Cable (2mtr)	010-11076-00	38.49999999999999	49	Labour Estimated - (0.25)	0.25	2.5	0
GAR-VHF115i-KIT02	VHF Radio - Garmin VHF115i Flush Mounted with 1.2m Aerial	1	VHF Radio - Garmin VHF115i	010-02096-01	375.2	419	Head Unit Installation - Flush Mount	2.5	10	0
GAR-VHF115i-KIT02	VHF Radio - Garmin VHF115i Flush Mounted with 1.2m Aerial	2	ABL012 - Double Swivel rectangular antenna base with lead for AW36XX range of whips	ABL012	51.00441176470588	60	Radio Aerial Installation - Deck/Side Mount	0.9	5	0
GAR-VHF115i-KIT02	VHF Radio - Garmin VHF115i Flush Mounted with 1.2m Aerial	3	AW364V - VHF detachable antenna whip 1200 mm	AW364V	40.8635806451613	50	Labour Estimated - (0.10)	0.1	1	0
GAR-VHF115iB-KIT02	VHF Radio - Garmin VHF115i Flush Mounted with 1.2m (Black) Aerial	1	VHF Radio - Garmin VHF115i	010-02096-01	375.2	419	Head Unit Installation - Flush Mount	2.5	10	0
GAR-VHF115iB-KIT02	VHF Radio - Garmin VHF115i Flush Mounted with 1.2m (Black) Aerial	2	ABL012B - Double Swivel rectangular antenna base with lead for AW36XX range of whips - Black	ABL012B	51.00441176470588	60	Radio Aerial Installation - Deck/Side Mount	0.9	5	0
GAR-VHF115iB-KIT02	VHF Radio - Garmin VHF115i Flush Mounted with 1.2m (Black) Aerial	3	AW364VB - VHF detachable antenna whip 1200 mm - Black	AW364VB	36.718	50	Labour Estimated - (0.10)	0.1	1	0
GAR-VHF215i-KIT02	VHF Radio - Garmin VHF215i Flush Mounted with 1.2m Aerial	1	VHF Radio - Garmin VHF215i	010-02097-01	479.2	529	Head Unit Installation - Flush Mount	2.5	10	0
GAR-VHF215i-KIT02	VHF Radio - Garmin VHF215i Flush Mounted with 1.2m Aerial	2	ABL012 - Double Swivel rectangular antenna base with lead for AW36XX range of whips	ABL012	51.00441176470588	60	Radio Aerial Installation - Deck/Side Mount	0.9	5	0
GAR-VHF215i-KIT02	VHF Radio - Garmin VHF215i Flush Mounted with 1.2m Aerial	3	AW364V - VHF detachable antenna whip 1200 mm	AW364V	40.8635806451613	50	Labour Estimated - (0.10)	0.1	1	0
GAR-VHF215iB-KIT02	VHF Radio - Garmin VHF215i Flush Mounted with 1.2m (Black) Aerial	1	VHF Radio - Garmin VHF215i	010-02097-01	479.2	529	Head Unit Installation - Flush Mount	2.5	10	0
GAR-VHF215iB-KIT02	VHF Radio - Garmin VHF215i Flush Mounted with 1.2m (Black) Aerial	2	ABL012B - Double Swivel rectangular antenna base with lead for AW36XX range of whips - Black	ABL012B	51.00441176470588	60	Radio Aerial Installation - Deck/Side Mount	0.9	5	0
GAR-VHF215iB-KIT02	VHF Radio - Garmin VHF215i Flush Mounted with 1.2m (Black) Aerial	3	AW364VB - VHF detachable antenna whip 1200 mm - Black	AW364VB	36.718	50	Labour Estimated - (0.10)	0.1	1	0
GAR-VHF215iB-KIT02D	VHF Radio - Garmin VHF215i Flush Mounted with 1.2m (Black) Aerial & NMEA Drop Cable	1	VHF Radio - Garmin VHF215i	010-02097-01	479.2	529	Head Unit Installation - Flush Mount	2.5	10	0
GAR-VHF215iB-KIT02D	VHF Radio - Garmin VHF215i Flush Mounted with 1.2m (Black) Aerial & NMEA Drop Cable	2	ABL012B - Double Swivel rectangular antenna base with lead for AW36XX range of whips - Black	ABL012B	51.00441176470588	60	Radio Aerial Installation - Deck/Side Mount	0.9	5	0
GAR-VHF215iB-KIT02D	VHF Radio - Garmin VHF215i Flush Mounted with 1.2m (Black) Aerial & NMEA Drop Cable	3	AW364VB - VHF detachable antenna whip 1200 mm - Black	AW364VB	36.718	50	Labour Estimated - (0.10)	0.1	1	0
GAR-VHF215iB-KIT02D	VHF Radio - Garmin VHF215i Flush Mounted with 1.2m (Black) Aerial & NMEA Drop Cable	4	Garmin NMEA Backbone/Drop Cable (2mtr)	010-11076-00	38.49999999999999	49	Labour Estimated - (0.25)	0.25	2.5	0
GAR-VHF215i AIS	VHF Radio w AIS - Garmin VHF215i AIS Flush Mounted with 1.8m Aerial	1	VHF Radio - Garmin VHF215i AIS	010-02098-01	799.1999999999999	879	Head Unit Installation - Flush Mount	2.5	10	0
GAR-VHF215i AIS	VHF Radio w AIS - Garmin VHF215i AIS Flush Mounted with 1.8m Aerial	2	ABL012 - Double Swivel rectangular antenna base with lead for AW36XX range of whips	ABL012	51.00441176470588	60	Radio Aerial Installation - Deck/Side Mount	0.9	5	0
GAR-VHF215i AIS	VHF Radio w AIS - Garmin VHF215i AIS Flush Mounted with 1.8m Aerial	3	AW366V - VHF 1800mm detachable ant whip	AW366V	46.92205970149254	60	Labour Estimated - (0.10)	0.1	1	0
GAR-VHF215i AIS	VHF Radio w AIS - Garmin VHF215i AIS Flush Mounted with 1.8m Aerial	4	Garmin NMEA Backbone/Drop Cable (2mtr)	010-11076-00	38.49999999999999	49	Labour Estimated - (0.25)	0.25	2.5	0
