Description	Code	CTD	Inflation	Adj CTD	Tot Parts CTD	Parts Sell	Total Lab	Labour CTD	Labour Ret	Sundry 1	Sublet	Act CTD	MU	GP	Act Sell	Rebate	Image Link
VHF Radio - GME GX700W Flush Mounted with 1.8m Aerial	GME-GX700WPK	300.2849159106429	0	0	300.2849159106429	360	3.5	455.3181818181818	556.5	16	0	771.6030977288247	0.1063153662148321	82.03326590753886	939		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2023/11/GME-GX700W-1.png
VHF Radio - GME GX700B Flush Mounted with 1.8m Aerial	GME-GX700BPK	300.2849159106429	0	0	300.2849159106429	360	3.5	455.3181818181818	556.5	16	0	771.6030977288247	0.1063153662148321	82.03326590753886	939		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2023/11/GME-GX700B-1-768x525.png
VHF Radio - GME GX700W Flush Mounted with 1.2m Aerial	GME-GX700WPK-KIT02	294.2264368543116	0	0	294.2264368543116	350	3.5	455.3181818181818	556.5	16	0	765.5446186724934	0.1031955995066022	79.00083587296115	929		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2023/11/GME-GX700W-1.png
VHF Radio - GME GX700B Flush Mounted with 1.2m (Black) Aerial	GME-GX700BPK-KIT02	290.0808562091503	0	0	290.0808562091503	350	3.5	455.3181818181818	556.5	16	0	761.3990380273322	0.1092021559858309	83.14641651812235	929		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2023/11/GME-GX700B-1-768x525.png
VHF Radio - Garmin VHF115i Flush Mounted with 1.8m Aerial	GAR-VHF115i	473.1264714661984	0	0	473.1264714661984	539	3.5	455.3181818181818	556.5	16	0	944.4446532843801	0.07614949465715352	71.91898307925612	1118		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2021/05/VHF-115i-Marine-Radio.jpg
VHF Radio - Garmin VHF115i Flush Mounted with 1.8m (Black) Aerial	GAR-VHF115iB	473.1264714661984	0	0	473.1264714661984	539	3.5	455.3181818181818	556.5	16	0	944.4446532843801	0.07614949465715352	71.91898307925612	1118		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2021/05/VHF-115i-Marine-Radio.jpg
VHF Radio - Garmin VHF215i Flush Mounted with 1.8m Aerial	GAR-VHF215i	577.1264714661984	0	0	577.1264714661984	649	3.5	455.3181818181818	556.5	16	0	1048.44465328438	0.06478070431900403	67.91898307925612	1228		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2021/05/VHF-215i-AIS-Marine-Radio.jpg
VHF Radio - Garmin VHF215i Flush Mounted with 1.8m (Black) Aerial	GAR-VHF215iB	577.1264714661984	0	0	577.1264714661984	649	3.5	455.3181818181818	556.5	16	0	1048.44465328438	0.06478070431900403	67.91898307925612	1228		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2021/05/VHF-215i-AIS-Marine-Radio.jpg
VHF Radio - Garmin VHF215i Flush Mounted with 1.8m (Black) Aerial & NMEA Drop Cable	GAR-VHF215iBD	615.6264714661984	0	0	615.6264714661984	698	3.75	487.840909090909	596.25	18.5	0	1121.967380557107	0.0695498111577414	78.03261944289261	1320		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2021/05/VHF-215i-AIS-Marine-Radio.jpg
VHF Radio - Garmin VHF115i Flush Mounted with 1.2m Aerial	GAR-VHF115i-KIT02	467.0679924098671	0	0	467.0679924098671	529	3.5	455.3181818181818	556.5	16	0	938.386174228049	0.07340959930632694	68.88655304467818	1108		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2021/05/VHF-115i-Marine-Radio.jpg
VHF Radio - Garmin VHF115i Flush Mounted with 1.2m (Black) Aerial	GAR-VHF115iB-KIT02	462.9224117647059	0	0	462.9224117647059	529	3.5	455.3181818181818	556.5	16	0	934.2405935828876	0.07817272573198239	73.0321336898395	1108		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2021/05/VHF-115i-Marine-Radio.jpg
VHF Radio - Garmin VHF215i Flush Mounted with 1.2m Aerial	GAR-VHF215i-KIT02	571.0679924098671	0	0	571.0679924098671	639	3.5	455.3181818181818	556.5	16	0	1042.386174228049	0.06224809446722662	64.88655304467852	1218		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2021/05/VHF-215i-AIS-Marine-Radio.jpg
VHF Radio - Garmin VHF215i Flush Mounted with 1.2m (Black) Aerial	GAR-VHF215iB-KIT02	566.9224117647058	0	0	566.9224117647058	639	3.5	455.3181818181818	556.5	16	0	1038.240593582887	0.06648953442632725	69.03213368983984	1218		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2021/05/VHF-215i-AIS-Marine-Radio.jpg
VHF Radio - Garmin VHF215i Flush Mounted with 1.2m (Black) Aerial & NMEA Drop Cable	GAR-VHF215iB-KIT02D	605.4224117647058	0	0	605.4224117647058	688	3.75	487.840909090909	596.25	18.5	0	1111.763320855615	0.0711894056664553	79.14577005347587	1310		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2021/05/VHF-215i-AIS-Marine-Radio.jpg
VHF Radio w AIS - Garmin VHF215i AIS Flush Mounted with 1.8m Aerial	GAR-VHF215i AIS	935.6264714661984	0	0	935.6264714661984	1048	3.75	487.840909090909	596.25	18.5	0	1441.967380557107	0.05285448107381251	76.21443762471063	1670		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2021/05/VHF-215i-AIS-Marine-Radio.jpg
VHF Radio - GME GX750W Hideaway with 1.8m Aerial	GME-GX750WPK1	381.2100874661984	0	0	381.2100874661984	450	3	390.2727272727272	477	16	0	787.4828147389255	0.09555060323861535	75.24445798834711	949		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2023/11/GME-GX750W-1-768x600.png
VHF Radio - GME GX750B Hideaway with 1.8m Aerial	GME-GX750BPK1	381.2100874661984	0	0	381.2100874661984	450	3	390.2727272727272	477	16	0	787.4828147389255	0.09555060323861535	75.24445798834711	949		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2016/05/GME-GX750B-1-768x570.png
VHF Radio - GME GX750B Hideaway with 1.8m (Black) Aerial	GME-GX750BPK1B	381.2100874661984	0	0	381.2100874661984	450	3	390.2727272727272	477	16	0	787.4828147389255	0.09555060323861535	75.24445798834711	949		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2016/05/GME-GX750B-1-768x570.png
