																																																																										
		300024267 - NORTHSIDE  Price File	300024267 - NORTHSIDE  Price File	300024267 - NORTHSIDE  Price File	300024267 - NORTHSIDE  Price File	300024267 - NORTHSIDE  Price File	300024267 - NORTHSIDE  Price File																																																																			
																																																																										
		Catalogue No	Material	Description	MOQ	Barcode No	Nett Price																																																																			
		1005	980680002	Daytime Running Light	1	9416325206736	76.21																																																																			
		1009	980880001	Drl,Surface Mount, Horizontal, Single, Led Safety Daylights, 12V	1	9416325217299	46.82																																																																			
		1009-24V	980880101	Drl,Surface Mount, Horizontal, Single, Led Safety Daylights, 24V	1	9416325217305	46.82																																																																			
		1009V	980880401	Drl,Surface Mount, Vertical, Single, Led Safety Daylights, 12V	1	9416325231684	46.82																																																																			
		1009V-24V	980880501	Drl,Surface Mount, Vertical, Single, Led Safety Daylights, 24V	1	9416325231691	46.82																																																																			
		1017	912420901	Frame, Headlight	1	4082300958447	23.6																																																																			
		1025	950951001	Housing, Headlight, Twin, 165X100M	1	9314365002403	170.03																																																																			
		1028	007834921	Insert, Headlight	1	4082300958478	174.29																																																																			
		1029-12V	008193941	Insert, Headlight	1	4082300958454	152.87																																																																			
		1030-24V	008191961	Insert, Spotlight	1	4082300958461	207.89																																																																			
		1031-24V	008191941	Ff-H7 High Beam	1	4082300957877	189.58																																																																			
		1040	002425191	Insert, Headlight, 146Mm Round, H1	1	9314365002427	96.33																																																																			
		1053	114155911	Insert, Spotlight, H1	1	4082300957860	54																																																																			
		1055	002850062	Insert, Headlight, 146Mm Round, H4	1	9314365002526	57.24																																																																			
		1056	002395843	Insert, Headlight, 178Mm Round, H4	1	9314365002533	54.55																																																																			
		1056LED	958307001	Insert, Headlight, 7'' Round, Led, Low/High Beam	1	9416325242321	205.48																																																																			
		1058LED	958307011	Insert, Headlight, 7'' Round, Led, Low/High Beam, W/Drl/Po	1	9416325242314	505.52																																																																			
		1110	005860001	Comet 450, Fog Light, H3 12 V, Mounting	1	4082300018905	74.44																																																																			
		1308	005750301	Comet 500, Spotlight, H3 12 V, Mounting	1	4082300041071	72.34																																																																			
		1358LED	958307021	Insert, Headlight, 7'' Round, Led, High Beam	1	9416325242307	490.41																																																																			
		1365LED	016560111	Rallye 4000 Led, Spotlight, Pencil	1	4082300768923	399.88																																																																			
		1366LED	016560101	Rallye 4000 Led, Spotlight, Spread	1	4082300773774	399.88																																																																			
		1380	009094101	Rallye Ff 4000 Compact, Spotlight, Pencil, H1 Luminator Compact	1	4082300207989	112.36																																																																			
		1395	958040021	Led Lightbar, 350	1	9416325235941	230.21																																																																			
		1395HD	958040031	Led Lightbar, 350 Hd Bracket	1	9416325242475	262.57																																																																			
		1396	958040061	Led Lightbar, 350, Pencil	1	9416325236382	230.21																																																																			
		1396HD	958040041	Led Lightbar, 350, Pencil, Hd Bracket	1	9416325242482	250.07																																																																			
		1397HD	958130121	Led Lightbar, 470, Hd Bracket	1	9416325242024	303.37																																																																			
		1398HD	958130021	Led Lightbar, 470, Pencil, Hd Bracket	1	9416325242031	303.37																																																																			
		1430-H	959070501	Lamp Zr Duraled Horz Md12/24	1	9416325175001	143.3																																																																			
		1430-HBL	959070502	Lamp Zr Duraled Horz Md12/24	1	9416325219972	145.97																																																																			
		1430-V	959070551	Duraled 24 Led Reverse Mv 2.5M	1	9416325175032	143.3																																																																			
		1433	959820001	Lamp Zr Reverse Euroled Md12/24	1	9416325162964	166.28																																																																			
		1446-H	959041321	Reverse Light	1	9416325171645	166.3																																																																			
		1446-V	959041411	Led Reverse.Vertical 9-33Vdc	1	9416325171638	166.3																																																																			
		1461	980762011	Lamp Reverse Jumbo-S Md12/24	1	9416325230045	75.42																																																																			
		1461BL	980762012	Lamp Reverse Jumbo-S Md12/24	1	9416325239734	77.43																																																																			
		1465	959930001	Led Reverse Insert 9-33 Vdc	1	9416325176602	146.69																																																																			
		1467	959930111	Led Reverse Lp Black 9-33Vdc	1	9416325176541	153.25																																																																			
		1468	980889001	Lamp Reverse Strip Horz Md12	1	9416325236016	38.57																																																																			
		1468-24V	980889201	Lamp Reverse Strip Horz Md24	1	9416325236023	38.57																																																																			
		1468BL	980889022	Lamp Reverse Strip Horz Md12	1	9416325237075	41.51																																																																			
		1468V	980889101	Lamp Reverse Strip Vert Md12	1	9416325236047	38.57																																																																			
		1468V-24V	980889301	Lamp Reverse Strip Vert Md24	1	9416325236030	38.57																																																																			
		1490	959010511	Lamp Zr Reverse 83Mm Rnd Md12/24	2	9416325176008	138.48																																																																			
		1520LED	958372001	Led Hand Held Spot Lamp, Long Range	1	9416325244707	245.87																																																																			
		1521LED	958373001	Led Hand Held Spot Lamp, Medium Range	1	9416325244714	251.03																																																																			
		1599HD	958130431	Led Light Bar 470, Combi Lamp Hd Bracket	1	9416325246497	284.39																																																																			
		1717	905137001	Rotating Beacon, Blue, Kl700 12V, Halogen	1	9314365003721	96.19																																																																			
		1720	905139001	Rotating Beacon, Blue, Kl700 24V, Halogen	1	9314365003752	96.19																																																																			
		1724	905143001	Rotating Beacon, Amber Optic Lens, Kl700 12V, Halogen	1	9314365003790	96.19																																																																			
		1728-24V	378299002	Rotating Beacon, Kl7000 Halogen, 24V	1	9314365038266	99.53																																																																			
		1735	905145001	Rotating Beacon, Kl7000 Halogen, 12-24V, Pipe Mount	1	9314365038228	123.12																																																																			
		1786	007550001	Rotating Beacon, Kl Ranger 12V 12 V, H1, Yellow	1	4082300069693	23.08																																																																			
		1787	007550011	Rotating Beacon, Kl Ranger 24V 24 V, H1, Yellow	1	4082300069709	24.16																																																																			
		1F0011988021	011988021	L4060, Headlamp, Led, High Beam, With Frame	1	4082300497007	307.97																																																																			
		1F0011988031	011988031	L4060, Headlamp, Led, High Beam, W/Drl/Po/Frame	1	4082300496888	281.29																																																																			
		1F0011988071	011988071	L4060, Headlamp, Led, High Beam, W/Di/Frame	1	4082300522426	280.34																																																																			
		1F0011988081	011988081	L4060, Headlamp, Led, High Beam, W/Di/Pulse Gen/Frame	1	4082300522402	277.93																																																																			
		1F0011988121	011988121	L4060, Headlamp, Led, High Beam	1	4082300497014	215.85																																																																			
		1F0011988131	011988131	L4060, Headlamp, Led, High Beam, W/Drl/Po	1	4082300496895	289.4																																																																			
		1F0011988171	011988171	L4060, Headlamp, Led, High Beam, W/Di	1	4082300522396	306.11																																																																			
		1F0011988181	011988181	L4060, Headlamp, Led, High Beam, W/Di/Pulse Gen	1	4082300522419	294.28																																																																			
		1F0358228871	358228871	Antares 9'' Driving light Kit	1	4082300939286	593.95																																																																			
		1F3009094311	009094311	Rallye Ff 4000 Compact Ix, Spotlight, Spread, 35Whid Luminator Compact	1	4082300259858	439.52																																																																			
