As at 27.02.2026		Franchise	Part	Description	Stock OH	Bin	Daily	MU	GP	List	Retail+ GST	
												
		9DU	1000	TRAILER COUPLING 50MM 3500KG	0	FF16	79.2	0.3767676767676768	29.840000000000003	109.04	119.94	
		9DU	1029	MASTER CYLINDER AND HAND BRAKE	0	BUY IN	80.2	0.5302992518703242	42.53	122.73	135	
		9DU	1030	HYDRAULIC OVER-RIDE 50MMCOUPLI	1	FF16	132.61	0.3710127441369428	49.19999999999999	181.81	199.99	
		9DU	1041	MECHANICAL OVER RIDE COUPLING	0	BUY IN	60	0.9166666666666666	55	115	126.5	
		9DU	1044C	TRIGGER REPLACEMENT KIT	0	BUY IN	14.32	0.3966480446927374	5.68	20	22	
		9DU	1163G	DUNBIER 10:1/5:1/1:1 STRAP WIN	0	BUY IN	92.15	0.4698860553445467	43.29999999999998	135.45	149	
		9DU	1194	WINCH STRAP W/SNAP HOOK - 7.5M	0	GG07	17.8	1.0421348314606742	18.55	36.35	39.99	
		9DU	1210	ALKO WINCH HANDLE	4	PFD6	11.42	1.3870402802101578	15.840000000000002	27.26	29.99	
		9DU	1286	MOUNT PLATE & U-BOLTS = JOCKEY	0	BUY IN	55	0.9834545454545455	54.09	109.09	120	
		9DU	1287	JOCKEY WHEEL - FULTON	0	GG08	350	0.32208571428571436	112.73000000000002	462.73	509	
		9DU	1293	JOCKEY WHEEL KNOTT 545KG 50MM	-1	BUY IN	148.5	0.40188552188552196	59.68000000000001	208.18	229	
		9DU	1294	KNOTT SWING UP JOCKEY WHEEL 75	1	GG08	192.29	0.5554110978209995	106.79999999999998	299.09	329	
		9DU	1330	QUICK FIT J/WHEEL CLAMP 75MM	0	BUY IN	17.7	0	0	17.7	19.47	
		9DU	1351	RUBBER WHEEL - 8" SOLID	0	NO LOCAT	36.4	0	0	36.4	40.04	
		9DU	1356	FULTON HANDLE	0	GG07	29.13	0.24785444558874023	7.220000000000002	36.35	39.99	
		9DU	1449	WHEEL GAL 400 X 8	0	BUY IN	100.2	0.36087824351297415	36.16000000000001	136.36	150	
		9DU	1461	WHEEL- 13" GALV 155RLT DUNBIER	0	BUY IN	116	0.5595689655172413	64.91	180.91	199	
		9DU	1467	175R13LT GAL WHEEL	0	WHEELS	139.75	0.4246153846153846	59.34	199.09	219	
		9DU	1467W	TRAILER WHEEL WHITE 175 /13	0	BUY IN	150	0.6302666666666666	94.53999999999999	244.54	268.99	
		9DU	1472W	WHEEL - 14" WHT LT185X14	0	NO LOCAT	198	0.13131313131313133	26	224	246.4	
		9DU	1482	14" WHEEL GALV ASSY - 195R14C	0	WHEELS	190.32	0.42817360235393026	81.49000000000001	271.81	298.99	
		9DU	1496	14"  GALV RIM  DUNBIER	0	BUY IN	70	0.7142857142857143	50	120	132	
		9DU	1501	RIM - 13 X 5" MACHINED ALLOY	0	BUY IN	93	0.4656989247311828	43.31	136.31	149.94	
		9DU	1502	14" X 6 MACHINED ALLOY WHEEL	0	BUY IN	118	0.45610169491525415	53.81999999999999	171.82	189	
		9DU	1516	SPAIR WHEEL MOUNT	0	BUY IN	254.89	0.35529051747812784	90.56	345.45	380	
		9DU	1517	DUNBIER DROP DOWN SPARE FORD	0	BUY IN	248	0.5120967741935484	127	375	412.5	
		9DU	1521	14" DUNBIER SPARE WHEEL COVER	0	BUY IN	20.8	0.4836538461538461	10.059999999999999	30.86	33.95	
		9DU	1525	SPARE WHEEL U BOLT	6	FF16	9.5	1.3926315789473684	13.23	22.73	25	
		9DU	1531	SPARE WHEEL CARRIER	2	FF16	60.89	0.47807521760551813	29.11	90	99	
		9DU	1532	SPARE WHEEL CARRIER - UNIV	0	FF16	27.55	0.9796733212341197	26.99	54.54	59.99	
		9DU	1577G	45MM SQUARE AXLE	0	NO LOCAT	182	0.37362637362637363	68	250	275	
		9DU	1582G	DUNBIER COMPLETE REAR AXLE HUB	0	BUY IN	343	0.54	185.22000000000003	528.22	581.04	
		9DU	1607G	MECHANICAL DISC AXLE COMPLETE	0	BUY IN	529	0.4246313799621928	224.63	753.63	828.99	
		9DU	1608G	BRAKE AXLE GAL SQ 45 X 2170 HY	0	BUY IN	1127.02	0.5317918049369132	599.3399999999999	1726.36	1899	
		9DU	1665K	HUB KIT FORD LM BEARINGS	0	NO LOCAT	40.7	0.3999999999999998	16.279999999999994	56.98	62.68	
		9DU	1669	WHEEL NUT 1/2" (FORD)	0	BUY IN	0.48	2.791666666666667	1.34	1.82	2	
		9DU	1674	WHEEL STUD 1/2" (FORD)	0	BUY IN	1.19	1.2941176470588236	1.54	2.73	3	
		9DU	1678	WOBBLE ROLLER SPLIT PINS (10)	7	FF17	3.08	1.948051948051948	6	9.08	9.99	
		9DU	1679	WOBBLE WASHER & SPLIT PIN KIT	3	FF17	7.12	1.042134831460674	7.419999999999999	14.54	15.99	
		9DU	1690S	BEARING SET AND GREASE SEAL	0	BUY IN	10.35	0.3864734299516908	4	14.35	15.79	
