		Parts & Accessories Module	Supplier	Code	Supplier Description	P&A	MU	CTD	MU	GP	Sell	Base List	Install Type	TTF (Hours)	Labour ($)	Parts CTD	Sundry CTD	Total CTD	MU	GP	Parts	Sundry	Labour	Sell inc Install (if appl.)		Operation Code	Operation Description																															
		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23																																		
		SAFETY GEAR EQUIPMENT (NB: Excludes PFD's & Anchor)																									SAFETY GEAR EQUIPMENT (NB: Excludes PFD's & Anchor)																															
		Safety Gear - Smooth Waters	NSM	SG002	Safety Gear - Smooth Waters (Excluding PFD's & Anchor)	37.03527272727273		37.03527272727273	1.2582893948766285	46.6010909090909	92		Install Safety Equipment - Smooth Waters	0.05	6.504545454545454	37.03527272727273	0	43.53981818181818	1.0879529291891645	47.36927272727273	92	0.04999999999999982	7.95	100		SG002	Safety Gear - Smooth Waters																															
		Safety Gear - Smooth Waters inc Fire Ext	NSM	SG003	Safety Gear - Smooth Waters inc Fire Ext (Excluding PFD's & Anchor)	54.435272727272725		54.435272727272725	1.0374489802734859	56.47381818181818	122		Fire Extinguisher Installation	0.25	32.522727272727266	54.435272727272725	1	87.958	0.6950238646957533	61.13290909090907	122	2.25	39.75	164		SG003	Safety Gear - Smooth Waters inc Fire Ext																															
		Safety Gear - Partially Smooth Waters	NSM	SG004	Safety Gear - Partially Smooth Waters (Excluding PFD's & Anchor)	148.06727272727272		148.06727272727272	0.4182742488058252	61.93272727272725	231		Install Safety Equipment - Partially Smooth Waters	0.25	32.522727272727266	148.06727272727272	1	181.58999999999997	0.36671522761065145	66.59181818181818	231	2.25	39.75	273		SG004	Safety Gear - Partially Smooth Waters																															
		Safety Gear - Open Waters	NSM	SG006	Safety Gear - Open Waters (Excluding PFD's & Anchor)	483.8642727272727		483.8642727272727	0.1667434162134498	80.68118181818181	621		Install Safety Equipment - Open Waters	0.45	58.54090909090908	483.8642727272727	2	544.4051818181817	0.16223594825845788	88.32209090909089	621	3.450000000000003	71.55	696		SG006	Safety Gear - Open Waters																															
																																																										
		DFO KITS	DFO KITS																								DFO KITS																															
		Battery (MFM50 Supercharge) + Battery Box, Terminals & Switch	NSM Service Dept	ELE-00001A	NR - Not Required	224.368		224.368	0.3411408530142038	76.54109090909088	331		Internal Operation	2	260.18181818181813	224.368	5	489.5498181818181	0.21818784159398386	106.81381818181814	331	7	318	656		ELE-00001A	Battery (MFM50 Supercharge) + Battery Box, Terminals & Switch																															
		Century Marine Pro 580 Battery + Box, Terminals & Switch	NSM Service Dept	ELE-00002	NR - Not Required	226.31199999999998		226.31199999999998	0.3296205720823063	74.5970909090909	331		Internal Operation	2	260.18181818181813	226.31199999999998	5	491.49381818181814	0.21336955685376222	104.86981818181812	331	7	318	656		ELE-00002	Century Marine Pro 580 Battery + Box, Terminals & Switch																															
		Dual Battery Upgrade - 1 x MFM70 Battery, Dual Battery Switch, S/S Tray & Terminals	NSM Service Dept	ELE-00003	NR - Not Required	235.48000000000002		235.48000000000002	0.33962351560449044	79.97454545454542	347		Internal Operation	2	260.18181818181813	235.48000000000002	5	500.66181818181815	0.22020307665490044	110.24727272727273	347	7	318	672		ELE-00003	Dual Battery Upgrade - 1 x MFM70 Battery, Dual Battery Switch, S/S Tray & Terminals																															
																																																										
		PFD's - Personal Floatation Devices																									PFD's - Personal Floatation Devices																															
		EA - Adult PFD, Standard	BBB	BBB-EA	PFD - Adult (Standard)	14.95	0.2	17.939999999999998	0.2668490929360496	4.787272727272729	25	22.727272727272727	Supply Only - Installation Not Required	0	0	17.939999999999998	0	17.939999999999998	0.2668490929360496	4.787272727272729	25	0	0	25		PFD-100A-1	EA - Adult PFD, Standard																															
																																																										
		Inflatable PFD - Adult 150N (Manual)	BBB	BBB-EIMD150NAVY	Inflatable PFD - Adult 150N (Manual)	61.25	0.2	73.5	0.22448979591836715	16.499999999999986	99	89.99999999999999	Supply Only - Installation Not Required	0	0	73.5	0	73.5	0.22448979591836715	16.499999999999986	99	0	0	99		PFD-EIMC150RED-1	Inflatable PFD - Adult 150N (Manual)																															
																																																										
		Inflatable Deluxe PFD - Adult 150N (Manual) - Navy	BBB	BBB-EIMD150NAVY	Inflatable Deluxe PFD - Adult 150N (Manual) - Navy	61.25	0.2	73.5	0.22448979591836715	16.499999999999986	99	89.99999999999999	Supply Only - Installation Not Required	0	0	73.5	0	73.5	0.22448979591836715	16.499999999999986	99	0	0	99		PFD-EIMD150NAVY	Inflatable Deluxe PFD - Adult 150N (Manual) - Navy																															
		Inflatable Deluxe PFD - Adult 150N (Manual) - Red	BBB	BBB-EIMD150RED	Inflatable Deluxe PFD - Adult 150N (Manual) - Red	61.25	0.2	73.5	0.22448979591836715	16.499999999999986	99	89.99999999999999	Supply Only - Installation Not Required	0	0	73.5	0	73.5	0.22448979591836715	16.499999999999986	99	0	0	99		PFD-EIMD150RED	Inflatable Deluxe PFD - Adult 150N (Manual) - Red																															
		Inflatable Deluxe PFD - Adult 150N (Auto) - Navy	BBB	BBB-EIAD150NAVY	Inflatable Deluxe PFD - Adult 150N (Auto) - Navy	69.6	0.2	83.52	0.2517415534656913	21.025454545454537	115	104.54545454545453	Supply Only - Installation Not Required	0	0	83.52	0	83.52	0.2517415534656913	21.025454545454537	115	0	0	115		PFD-EIAD150NAVY	Inflatable Deluxe PFD - Adult 150N (Auto) - Navy																															
