																																																																													
			SIMRAD PRICE LIST	000-15405-001	000-15405-001																																																																								
			SIMRAD PRICE LIST	NSS9 evo3S with World Basemap	NSS9 evo3S with World Basemap	NSS9 evo3S with World Basemap	NSS9 evo3S with World Basemap	NSS9 evo3S with World Basemap	NSS9 evo3S with World Basemap																																																																				
			SIMRAD PRICE LIST	Trade	Nett	MU	GP	Base	Sell																																																																				
			As at 10.02.2025	3053.816	2977.4705999999996	0.2820512820512822	839.7994000000003	3817.27	4199																																																																				
				0.2	0.025																																																																								
		Part Number	Title	Trade	Nett	MU	GP	Base	Sell		Install (Hrs)	Sundry		Category	Technology	Description	RRP (0.0%)	Barcode																																																											
		000-15126-001	NSO evo3S MFD 16" System Pack	9447.272	9211.0902	0.282051282051282	2597.9997999999996	11809.09	12990		4	10		Navigation Systems	NSO evo3S™	NSO evo3S 16" MFD System Pack - High performance all-in-one multifunctional display. Integrate with radar, autopilot, sonar modules and much more via Ethernet and NMEA2000. Includes MI10 Card reader, OP50 Remote, and GS25 GPS Antenna.	11809.09	9420064108442																																																											
		000-15127-001	NSO evo3S MFD 19" System Pack	11192.728	10912.9098	0.2820512820512821	3078.0002000000004	13990.91	15390		4	10		Navigation Systems	NSO evo3S™	NSO evo3S 19" MFD System Pack - High performance all-in-one multifunctional display. Integrate with radar, autopilot, sonar modules and much more via Ethernet and NMEA2000. Includes MI10 Card reader, OP50 Remote, and GS25 GPS Antenna.	13990.91	9420064108459																																																											
		000-15128-001	NSO evo3S MFD 24" System Pack	13810.912	13465.6392	0.28205128205128205	3798.0008	17263.64	18990		4	10		Navigation Systems	NSO evo3S™	NSO evo3S 24" MFD System Pack - High performance all-in-one multifunctional display. Integrate with radar, autopilot, sonar modules and much more via Ethernet and NMEA2000. Includes MI10 Card reader, OP50 Remote, and GS25 GPS Antenna.	17263.64	9420064108466																																																											
																																																																													
		000-15047-001	NSO evo3S MFD 16"	7920	7722	0.28205128205128205	2178	9900	10890		2.5	10		Navigation Systems	NSO evo3S™	NSO evo3S 16" MFD Display Only - High performance all-in-one multifunctional display. Integrate with radar, autopilot, sonar modules and much more via Ethernet and NMEA2000.	9900	9420064105014																																																											
		000-15049-001	NSO evo3S MFD 19"	10465.456	10203.8196	0.28205128205128194	2878.000399999999	13081.82	14390		2.5	10		Navigation Systems	NSO evo3S™	NSO evo3S 19" MFD Display Only - High performance all-in-one multifunctional display. Integrate with radar, autopilot, sonar modules and much more via Ethernet and NMEA2000.	13081.82	9420064105038																																																											
		000-15051-001	NSO evo3S MFD 24"	13083.64	12756.548999999999	0.2820512820512821	3598.001	16354.55	17990		2.5	10		Navigation Systems	NSO evo3S™	NSO evo3S 24" MFD Display Only - High performance all-in-one multifunctional display. Integrate with radar, autopilot, sonar modules and much more via Ethernet and NMEA2000.	16354.55	9420064105052																																																											
																																																																													
		000-15115-001	NSO evo3S MPU, 1 x 16" Base System	7920	7722	0.28205128205128205	2178	9900	10890		2.5	10		Navigation Systems	NSO MPU	NSO evo3S MPU 1 x 16" Multi-Touch Monitor System base kit. Expand and integrate to build your preferred system including navigation, radar, sonar, autopilot, and more.	9900	9420064108336																																																											
		000-15121-001	NSO evo3S MPU, 2 x 16" Base System	10101.816	9849.2706	0.2820512820512821	2777.9994000000006	12627.27	13890		2.5	10		Navigation Systems	NSO MPU	NSO evo3S MPU 2 x 16" Multi-Touch Monitor System base kit. Expand and integrate to build your preferred system including navigation, radar, sonar, autopilot, and more.	12627.27	9420064108398																																																											
		000-15117-001	NSO evo3S MPU, 1 x 19" Base System	9083.64	8856.548999999999	0.2820512820512821	2498.001	11354.55	12490		2.5	10		Navigation Systems	NSO MPU	NSO evo3S MPU 1 x 19" Multi-Touch Monitor System base kit. Expand and integrate to build your preferred system including navigation, radar, sonar, autopilot, and more.	11354.55	9420064108350																																																											
		000-15123-001	NSO evo3S MPU, 2 x 19" Base System	11144	10865.4	0.2820512820512821	3064.6000000000004	13930	15323		2.5	10		Navigation Systems	NSO MPU	NSO evo3S MPU 2 x 19" Multi-Touch Monitor System base kit. Expand and integrate to build your preferred system including navigation, radar, sonar, autopilot, and more.	13930	9420064108411																																																											
		000-15119-001	NSO evo3S MPU, 1 x 24" Base System	10101.816	9849.2706	0.2820512820512821	2777.9994000000006	12627.27	13890		2.5	10		Navigation Systems	NSO MPU	NSO evo3S MPU 1 x 24" Multi-Touch Monitor System base kit. Expand and integrate to build your preferred system including navigation, radar, sonar, autopilot, and more.	12627.27	9420064108374																																																											
																																																																													
		000-15045-001	NSO evo3S MPU with Worldwide Basemap	5090.183999999999	4962.929399999999	0.2820512820512822	1399.8006000000005	6362.73	6999		2.5	10		Navigation Systems	NSO MPU	NSO evo3S MPU - Multi-Display Blackbox MFD solution. Can drive two independent displays, supporting both touch and non-touch monitors. Expand and integrate to build your preferred system including navigation, radar, sonar, autopilot, and more.	6362.73	9420064104994																																																											
		000-15101-001	NSO evo3S MPU - Boatbuilder	5090.183999999999	4962.929399999999	0.2820512820512822	1399.8006000000005	6362.73	6999		2.5	10		Navigation Systems	NSO MPU	NSO evo3S MPU - Multi-Display Blackbox MFD solution. Can drive two independent displays, supporting both touch and non-touch monitors. Expand and integrate to build your preferred system including navigation, radar, sonar, autopilot, and more.	6362.73	9420064106585																																																											
																																																																													
		000-11262-002	MONITOR,SIM,MO19-T,TOUCH,HIGH BRT	4719.272	4601.2902	0.282051282051282	1297.7997999999998	5899.09	6489		1.5	10		Navigation Systems	Monitors	MO19-T - 19" Multi-Touch monitor, HD widescreen 1366x768 resolution. High-bright 1000-nit monitor. HDMI, DVI, 2x Analog composite (BNC) video in.	5899.09	9420064136643																																																											
		000-11260-001	MO16-T - 16'' Touch Monitor	3272	3190.2	0.2820512820512821	899.8000000000002	4090	4499		1.5	10		Navigation Systems	Monitors	MO16-T - 15.6" Multi-Touch monitor with 1366x768 resolution. The 1000 nit peak brightness gives you a clear display even in direct sunlight, and the minimum brightness is extremely dim for night operation without blinding. Multiple video inputs and low-profile glass bridge design.	4090	9420024127766																																																											
		000-11264-001	MO24-T - 24'' Touch Monitor	6399.272	6239.2901999999995	0.28205128205128216	1759.7998000000007	7999.09	8799		1.5	10		Navigation Systems	Monitors	MO24-T - 24" Multi-Touch monitor with 1920x1080 resolution. The 1000 nit peak brightness gives you a clear display even in direct sunlight, and the minimum brightness is extremely dim for night operation without blinding. Multiple video inputs and low-profile glass bridge design.	7999.09	9420024127803																																																											
																																																																													
