		RIGGING KIT DESCRIPTION	Part Number	Build	Dealer	Factory	Kit CTD	MU	GP ($)	Kit Sell Price	Trade Price	Sub Dealer Price		NSM Lab	NSM Lab ($)	Additional Parts	Sundry	Total Install CTD	Install MU	Instal GP	Install Retail Sell	Install Trade Sell	Install Sub Dealer Sell		Total CTD	MU	GP	Sell Price	Trade Price	Sub Dealer Price		Parts & Accessories	CTD	Parts & Accessories	CTD	Parts & Accessories	CTD	Parts & Accessories	CTD	 	Fuel Filter	 	 	 	Control Cable Length	Control Cable Length	Control Cable Length	Control Cable Length	Control Cable Length	Control Cable Length	Control Cable Length	Control Cable Length	Control Cable Length	Control Cable Length	 	Dealer 1/7/22	 	 	 	 	 	 	 	 
										0.25	0.05	0.05		(Hrs)	130.09090909090907		 	Total CTD				0.05	0.05		Rig + Install			Install				 	 	 	 	 	 	 	 	 	 	 	 	 	Option 1	Option 2	Option 3	Option 4	Option 5	Option 6	Option 7	Option 8	Option 9	Option 10	 		 	 	 	 	 	 	 	 
		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	 	 	 	 	 	 	 	 
		NR - RIGGING KIT NOT REQUIRED	Rigging Not Req.		0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0		NR - Not Required	0							 	Fuel Filter Optional	 	 	 	Control Cables - Not Required	.	.	.	.	.	.	.	.	.	 		 	 	 	 	 	 	 	 
		SUP - Supplied Standard w Motor	Std w Motor		0	0	0	0	0	0	0	0		2.5	325.22727272727263	235.87	0	561.0972727272726	0.19894946103981326	111.63	740	703	703		561.0972727272726	0.19894946103981326	111.63	740	703	703		Cable Allowance - Length not Specified	185.87			Rig Flange	25	Rig Hose	25	 	Fuel Filter Optional	 	 	 	Control Cables - Not Required	.	.	.	.	.	.	.	.	.	 		 	 	 	 	 	 	 	 
		NB: Rigging Kit - Select from Factory Options Listed Below	Select from Options		0	0	0	0	0	0	0	0		1	130.09090909090907	0	0	130.09090909090907	0.11809923130677857	15.363636363636374	160	152	152		130.09090909090907	0.11809923130677857	15.363636363636374	160	152	152		NR - Not Required	0							 	Fuel Filter Supplied in Rigging Kit	 	 	 	Control Cables - Not Required	.	.	.	.	.	.	.	.	.	 		 	 	 	 	 	 	 	 
		HAINES - Factory Fit Rigging Kit	Fastory Rigging		0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0		NR - Not Required	0							 	Fuel Filter Supplied in Rigging Kit	 	 	 	Control Cables - Not Required	.	.	.	.	.	.	.	.	.	 		 	 	 	 	 	 	 	 
		Tiller Handle Standard w Motor	Tiller Handle (Factory)		0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0		NR - Not Required	0							 	Fuel Filter Optional	 	 	 	Control Cables - Not Required	.	.	.	.	.	.	.	.	.	 		 	 	 	 	 	 	 	 
		Tiller Handle - Dealer Fitted	Dealer Fit		0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0		NR - Not Required	0							 	Fuel Filter Optional	 	 	 	Control Cables - Not Required	.	.	.	.	.	.	.	.	.	 		 	 	 	 	 	 	 	 
		 	 		 		 			 				 	 		 	 							 			 				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		TILLER CONVERSION KITS	 	 	Dealer	Freight	CTD	MU	GP ($)	Sell Price	Trade Price	Sub Dealer		 	 		 	 							 			 				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 Base Cost 	 	 	 	 	 	 	 	 
		Tiller Conversion Kit - F20G	9YA_TCK_F20G	Service	627.42	25.096799999999998	652.5168	0.2538862113309851	165.66501818181814	900	855	855		1	130.09090909090907	0	0	130.09090909090907	0.11809923130677857	15.363636363636374	160	152	152		782.6077090909091	0.23131468351588366	181.0286545454544	1060	1007	1007		.	0	.	0	.	0	.	0		Fuel Filter Optional	 	 	 	Control Cables - Not Required	.	.	.	.	.	.	.	.	.	 	544.84	 	 	 	 	 	 	 	 
		Tiller Conversion Kit - F25LC	9YA_TCK_F25LC	Service	629.17	25.1668	654.3367999999999	0.2503985992868172	163.8450181818182	900	855	855		1	130.09090909090907	0	0	130.09090909090907	0.11809923130677857	15.363636363636374	160	152	152		784.427709090909	0.22845783297627695	179.20865454545446	1060	1007	1007		.	0	.	0	.	0	.	0		Fuel Filter Optional	 	 	 	Control Cables - Not Required	.	.	.	.	.	.	.	.	.	 	546.36	 	 	 	 	 	 	 	 
		Tiller Conversion Kit - F25 SWC	9YA_TCK_F25 SWC	Service	803.62	32.144800000000004	835.7648	0.2508956412791556	209.68974545454523	1150	1092.5	1092.5		1	130.09090909090907	0	0	130.09090909090907	0.11809923130677857	15.363636363636374	160	152	152		965.8557090909092	0.23300931981859718	225.0533818181816	1310	1244.5	1244.5		.	0	.	0	.	0	.	0		Fuel Filter Optional	 	 	 	Control Cables - Not Required	.	.	.	.	.	.	.	.	.	 	629.64	 	 	 	 	 	 	 	 
		Tiller Conversion Kit - F30~40	9YA_TCK_F30-40	Service	655.37	26.2148	681.5848	0.25376248787451616	172.96065454545453	940	893	893		1	130.09090909090907	0	0	130.09090909090907	0.11809923130677857	15.363636363636374	160	152	152		811.6757090909091	0.2320191288218016	188.3242909090908	1100	1045	1045		.	0	.	0	.	0	.	0		Fuel Filter Optional	 	 	 	Control Cables - Not Required	.	.	.	.	.	.	.	.	.	 	569.12	 	 	 	 	 	 	 	 
		Tiller Conversion Kit - F50~70	9YA_TCK_F50-70	Service	660.63	26.4252	687.0552	0.25701161076484613	176.5811636363635	950	902.5	902.5		1	130.09090909090907	0	0	130.09090909090907	0.11809923130677857	15.363636363636374	160	152	152		817.146109090909	0.234896547709861	191.9448	1110	1054.5	1054.5		.	0	.	0	.	0	.	0		Fuel Filter Optional	 	 	 	Control Cables - Not Required	.	.	.	.	.	.	.	.	.	 	573.68	 	 	 	 	 	 	 	 
		Tiller Conversion Kit - F75~90B	9YA_TCK_F75-90B	Service	695.57	27.8228	723.3928000000001	0.2567043922622798	185.69810909090893	1000	950	950		1	130.09090909090907	0	0	130.09090909090907	0.11809923130677857	15.363636363636374	160	152	152		853.4837090909091	0.23557771907410743	201.06174545454542	1160	1102	1102		.	0	.	0	.	0	.	0		Fuel Filter Optional	 	 	 	Control Cables - Not Required	.	.	.	.	.	.	.	.	.	 	604.02	 	 	 	 	 	 	 	 
		Tiller Conversion Kit - F80~100D	9YA_TCK_F80-100D	Service	772.47	30.8988	803.3688000000001	0.25607430745494336	205.72210909090893	1110	1054.5	1054.5		1	130.09090909090907	0	0	130.09090909090907	0.11809923130677857	15.363636363636374	160	152	152		933.4597090909092	0.23684551491768122	221.0857454545453	1270	1206.5	1206.5		.	0	.	0	.	0	.	0		Fuel Filter Optional	 	 	 	Control Cables - Not Required	.	.	.	.	.	.	.	.	.	 	670.8	 	 	 	 	 	 	 	 
		Tiller Conversion Kit - F115B~F130	9YA_TCK_F115B-F130	Service	695.57	27.8228	723.3928000000001	0.2567043922622798	185.69810909090893	1000	950	950		1	130.09090909090907	0	0	130.09090909090907	0.11809923130677857	15.363636363636374	160	152	152		853.4837090909091	0.23557771907410743	201.06174545454542	1160	1102	1102		.	0	.	0	.	0	.	0		Fuel Filter Optional	 	 	 	Control Cables - Not Required	.	.	.	.	.	.	.	.	.	 	604.02	 	 	 	 	 	 	 	 
		 	 		 	 	 			 				 	 		 	 							 			 						 		 				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		MECHANICAL RIGGING KITS to 70HP - Yamaha	 	 	Dealer	Freight	CTD	MU	GP ($)	Sell Price	Trade Price	Sub Dealer		 	 		 	 							 			 						 		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 Base Cost 	 	 	 	 	 	 	 	 
